,,,,,,Initials:,se,,,se,se,se,se,,,,,,,,,,,
1,1,LS,SQ1,D4_T1,5,5,0,0,1,0,1,1,0,,3,0.6,,,,,,,,
1,1,Control,TM2,D5_T1,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
1,1,Control,WL1,D6_T1,5,5,0,0,0,0,0,1,0,,1,0.2,,,,,,,,
2,1,Control,YO1,A1_T2,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
2,1,Control,IH,A2_T2,5,5,0,0,0,1,0,1,2,,4,0.8,,,,,,,,
2,1,LS,YO7,A3_T2,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
2,1,Control,YO7,A4_T2,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
2,1,Control,FR,A5_T2,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
2,1,02KNO3,IH,A6_T2,5,5,0,0,0,1,1,0,0,,2,0.4,,,,,,,,
2,1,02KNO3,WL1,B1_T2,5,5,0,0,0,0,0,3,0,,3,0.6,,,,,,,,
2,1,02KNO3,YO1,B2_T2,5,5,0,0,0,0,1,0,0,,1,0.2,,,,,,,,
2,1,05KNO3,BH,B3_T2,5,5,0,0,0,0,0,1,0,,1,0.2,,,,,,,,
2,1,LS,WL2,B4_T2,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
2,1,05KNO3,WL1,B5_T2,5,5,0,0,0,0,1,0,0,,1,0.2,,,,,,,,
2,1,Control,DPR,B6_T2,5,5,0,0,0,1,1,1,0,,3,0.6,,,,,,,,
2,1,02KNO3,BH,C1_T2,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
2,1,Control,CP2,C2_T2,5,5,0,0,0,2,0,0,0,,2,0.4,,,,,,,,
2,1,Control,BH,C3_T2,5,5,0,0,2,0,0,0,1,"7/28 Green seed exposed in one seed, seed coat split, 7/29 Tail emerged from seed coat",3,0.6,,,,,,,,
2,1,02KNO3,CP2,C4_T2,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
2,1,05KNO3,YO7,C5_T2,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
2,1,LS,IH,C6_T2,5,5,0,0,0,1,0,2,0,,3,0.6,,,,,,,,
2,1,05KNO3,DPR,D1_T2,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
2,1,05KNO3,FR,D2_T2,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
2,1,LS,YO1,D3_T2,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
2,1,Control,LVTR,D4_T2,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
2,1,05KNO3,CP2,D5_T2,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
2,1,05KNO3,WL2,D6_T2,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
3,2,05KNO3,TM2,A1_T3,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
3,2,05KNO3,IH,A2_T3,5,5,0,0,0,0,1,0,1,,2,0.4,,,,,,,,
3,2,02KNO3,CP2,A3_T3,5,5,0,0,0,0,1,0,0,,1,0.2,,,,,,,,
3,2,05KNO3,BH,A4_T3,5,5,0,0,3,0,0,1,0,,4,0.8,,,,,,,,
3,2,Control,SQ1,A5_T3,5,5,0,0,0,1,1,0,2,,4,0.8,,,,,,,,
3,2,Control,LVTR,A6_T3,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
3,2,05KNO3,LVTR,B1_T3,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
3,2,Control,FR,B2_T3,5,5,0,0,1,2,0,0,0,,3,0.6,,,,,,,,
3,2,02KNO3,IH,B3_T3,5,5,0,0,0,1,0,1,0,,2,0.4,,,,,,,,
3,2,05KNO3,YO1,B4_T3,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
3,2,LS,CP2,B5_T3,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
3,2,LS,YO7,B6_T3,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
3,2,02KNO3,FR,C1_T3,5,5,0,0,0,1,0,0,1,"7/27 Tail separated from germinant, trashed",2,0.4,,,,,,,,
3,2,LS,BH,C2_T3,5,5,0,0,0,1,0,0,0,7/27 Leaf emerging from germinant,1,0.2,,,,,,,,
3,2,Control,WL2,C3_T3,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
3,2,02KNO3,WL1,C4_T3,5,5,0,0,0,1,0,1,0,,2,0.4,,,,,,,,
3,2,05KNO3,FR,C5_T3,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
3,2,LS,WL1,C6_T3,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
3,2,Control,YO7,D1_T3,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
3,2,02KNO3,YO7,D2_T3,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
3,2,02KNO3,SQ1,D3_T3,5,5,0,0,0,0,1,0,0,,1,0.2,,,,,,,,
3,2,02KNO3,WL2,D4_T3,5,5,0,0,0,0,0,1,2,,3,0.6,,,,,,,,
3,2,LS,DPR,D5_T3,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
3,2,02KNO3,DPR,D6_T3,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
4,2,LS,LVTR,A1_T4,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
4,2,Control,WL1,A2_T4,5,5,0,0,0,0,1,1,0,,2,0.4,,,,,,,,
4,2,Control,IH,A3_T4,5,5,0,0,0,0,2,2,0,,4,0.8,,,,,,,,
4,2,05KNO3,WL1,A4_T4,5,5,0,0,0,0,0,0,1,,1,0.2,,,,,,,,
4,2,Control,CP2,A5_T4,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
4,2,LS,IH,A6_T4,5,5,0,0,0,0,1,1,1,,3,0.6,,,,,,,,
4,2,LS,FR,B1_T4,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
4,2,LS,WL2,B2_T4,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
4,2,05KNO3,WL2,B3_T4,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
4,2,02KNO3,TM2,B4_T4,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
4,2,05KNO3,DPR,B5_T4,5,5,0,0,0,0,0,1,0,,1,0.2,,,,,,,,
4,2,02KNO3,LVTR,B6_T4,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
4,2,Control,BH,C1_T4,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
4,2,Control,YO1,C2_T4,5,5,0,0,0,0,0,0,0,1 germinant added to germination tray (6 total in germ tray) since 1 germinant in tray well had separate seed coat -- can remove later if needed (7/27),0,0,,,,,,,,
4,2,LS,TM2,C3_T4,5,5,0,0,1,2,0,0,0,,3,0.6,,,,,,,,
4,2,LS,SQ1,C4_T4,5,5,0,0,0,1,3,0,0,,4,0.8,,,,,,,,
4,2,Control,DPR,C5_T4,5,5,0,0,0,0,0,1,2,,3,0.6,,,,,,,,
4,2,05KNO3,CP2,C6_T4,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
4,2,LS,YO1,D1_T4,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
4,2,02KNO3,BH,D2_T4,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
4,2,05KNO3,SQ1,D3_T4,5,5,0,0,0,1,1,0,0,,2,0.4,,,,,,,,
4,2,02KNO3,YO1,D4_T4,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
4,2,Control,TM2,D5_T4,5,5,0,1,1,0,0,0,0,(7/27) Seed coat split with tail emerging,2,0.4,,,,,,,,
4,2,05KNO3,YO7,D6_T4,5,5,0,1,0,1,0,0,0,,2,0.4,,,,,,,,
5,3,Control,YO7,A1_T5,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
5,3,LS,IH,A2_T5,5,5,0,0,0,1,1,0,0,,2,0.4,,,,,,,,
5,3,Control,WL1,A3_T5,5,5,0,0,0,0,0,0,1,,1,0.2,,,,,,,,
5,3,05KNO3,YO1,A4_T5,5,5,0,0,0,0,0,1,0,,1,0.2,,,,,,,,
5,3,05KNO3,BH,A5_T5,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
5,3,02KNO3,TM2,A6_T5,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
5,3,05KNO3,WL2,B1_T5,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
5,3,LS,BH,B2_T5,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
5,3,LS,YO1,B3_T5,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
5,3,Control,FR,B4_T5,5,5,0,0,1,0,0,1,1,,3,0.6,,,,,,,,
5,3,LS,FR,B5_T5,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
5,3,LS,LVTR,B6_T5,5,5,0,0,0,0,0,0,1,,1,0.2,,,,,,,,
5,3,Control,WL2,C1_T5,5,5,0,0,0,2,0,0,0,,2,0.4,,,,,,,,
5,3,05KNO3,IH,C2_T5,5,5,0,0,0,0,1,0,0,,1,0.2,,,,,,,,
5,3,Control,TM2,C3_T5,5,5,0,2,0,0,0,0,0,,2,0.4,,,,,,,,
5,3,LS,YO7,C4_T5,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
5,3,05KNO3,SQ1,C5_T5,5,5,0,0,0,0,2,1,1,,4,0.8,,,,,,,,
5,3,Control,DPR,C6_T5,5,5,0,0,0,1,0,1,0,,2,0.4,,,,,,,,
5,3,02KNO3,LVTR,D1_T5,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
5,3,LS,CP2,D2_T5,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
5,3,Control,CP2,D3_T5,5,5,0,0,0,2,0,0,0,,2,0.4,,,,,,,,
5,3,Control,YO1,D4_T5,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
5,3,02KNO3,SQ1,D5_T5,5,5,0,0,0,0,0,0,3,,3,0.6,,,,,,,,
5,3,02KNO3,WL2,D6_T5,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
6,3,05KNO3,YO7,A1_T6,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
6,3,Control,IH,A2_T6,5,5,0,0,1,0,0,1,1,,3,0.6,,,,,,,,
6,3,LS,TM2,A3_T6,5,5,0,0,2,1,0,0,0,"1 germinant had a seed separate from the seed coat, was not added since TM2 LS already has 5 seeds (7/26)",3,0.6,,,,,,,,
6,3,05KNO3,WL1,A4_T6,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
6,3,05KNO3,FR,A5_T6,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
6,3,05KNO3,LVTR,A6_T6,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
6,3,02KNO3,YO1,B1_T6,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
6,3,LS,DPR,B2_T6,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
6,3,02KNO3,BH,B3_T6,5,5,0,1,0,0,0,1,0,7/24 2 green seed halves found detatched - lost seed coat and likely germinated,2,0.4,,,,,,,,
6,3,Control,BH,B4_T6,5,5,0,2,1,0,0,0,0,,3,0.6,,,,,,,,
6,3,05KNO3,TM2,B5_T6,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
6,3,05KNO3,DPR,B6_T6,5,5,0,0,0,0,0,0,1,,1,0.2,,,,,,,,
6,3,Control,SQ1,C1_T6,5,5,0,0,1,2,1,0,1,,5,1,,,,,,,,
6,3,02KNO3,FR,C2_T6,5,5,0,0,0,0,0,0,1,,1,0.2,,,,,,,,
6,3,Control,LVTR,C3_T6,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
6,3,02KNO3,YO7,C4_T6,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
6,3,02KNO3,DPR,C5_T6,5,5,0,0,0,0,0,0,1,,1,0.2,,,,,,,,
6,3,02KNO3,CP2,C6_T6,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
6,3,02KNO3,IH,D1_T6,5,5,0,0,0,0,0,1,1,,2,0.4,,,,,,,,
6,3,LS,WL1,D2_T6,5,5,0,1,1,0,0,0,1,,3,0.6,,,,,,,,
6,3,LS,SQ1,D3_T6,5,5,0,0,3,0,0,0,0,,3,0.6,,,,,,,,
6,3,05KNO3,CP2,D4_T6,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
6,3,02KNO3,WL1,D5_T6,5,5,0,0,0,0,1,0,0,,1,0.2,,,,,,,,
6,3,LS,WL2,D6_T6,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
7,4,LS,SQ1,A1_T7,5,5,0,0,0,0,1,1,1,,3,0.6,,,,,,,,
7,4,LS,FR,A2_T7,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
7,4,LS,DPR,A3_T7,5,5,0,0,0,0,0,0,1,,1,0.2,,,,,,,,
7,4,02KNO3,BH,A4_T7,5,5,0,1,1,0,1,0,0,,3,0.6,,,,,,,,
7,4,LS,BH,A5_T7,5,5,0,0,2,0,0,0,0,,2,0.4,,,,,,,,
7,4,05KNO3,SQ1,A6_T7,5,5,0,0,0,0,1,1,0,,2,0.4,,,,,,,,
7,4,Control,TM2,B1_T7,5,5,0,0,1,1,0,0,1,,3,0.6,,,,,,,,
7,4,05KNO3,BH,B2_T7,5,5,0,0,0,1,1,1,0,,3,0.6,,,,,,,,
7,4,05KNO3,WL2,B3_T7,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
7,4,Control,SQ1,B4_T7,5,5,0,0,1,3,0,1,0,,5,1,,,,,,,,
7,4,05KNO3,FR,B5_T7,5,5,0,0,0,0,0,1,0,,1,0.2,,,,,,,,
7,4,05KNO3,IH,B6_T7,5,5,0,0,0,0,1,1,1,,3,0.6,,,,,,,,
7,4,Control,YO1,C1_T7,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
7,4,LS,WL2,C2_T7,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
7,4,02KNO3,TM2,C3_T7,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
7,4,02KNO3,YO7,C4_T7,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
7,4,Control,WL1,C5_T7,5,5,0,0,1,1,0,0,0,,2,0.4,,,,,,,,
7,4,LS,WL1,C6_T7,5,5,0,0,0,2,0,0,1,,3,0.6,,,,,,,,
7,4,05KNO3,WL1,D1_T7,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
7,4,02KNO3,DPR,D2_T7,5,5,0,0,0,0,0,0,1,,1,0.2,,,,,,,,
7,4,05KNO3,DPR,D3_T7,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
7,4,02KNO3,WL2,D4_T7,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
7,4,05KNO3,YO1,D5_T7,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
7,4,Control,CP2,D6_T7,5,5,0,0,0,0,0,1,0,,1,0.2,,,,,,,,
8,4,LS,IH,A1_T8,5,5,0,0,0,3,0,0,0,,3,0.6,,,,,,,,
8,4,Control,BH,A2_T8,5,5,0,0,2,2,0,0,0,,4,0.8,,,,,,,,
8,4,02KNO3,IH,A3_T8,5,5,0,0,0,1,1,0,1,,3,0.6,,,,,,,,
8,4,Control,IH,A4_T8,5,5,0,0,1,3,1,0,0,,5,1,,,,,,,,
8,4,02KNO3,FR,A5_T8,5,5,0,0,0,0,1,0,0,,1,0.2,,,,,,,,
8,4,Control,DPR,A6_T8,5,5,0,0,0,0,0,0,1,,1,0.2,,,,,,,,
8,4,Control,FR,B1_T8,5,5,0,0,1,1,0,0,0,,2,0.4,,,,,,,,
8,4,LS,YO7,B2_T8,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
8,4,05KNO3,CP2,B3_T8,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
8,4,05KNO3,TM2,B4_T8,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
8,4,LS,LVTR,B5_T8,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
8,4,05KNO3,YO7,B6_T8,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
8,4,02KNO3,CP2,C1_T8,5,5,0,0,0,0,1,0,0,,1,0.2,,,,,,,,
8,4,LS,CP2,C2_T8,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
8,4,Control,YO7,C3_T8,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
8,4,02KNO3,LVTR,C4_T8,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
8,4,Control,WL2,C5_T8,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
8,4,LS,YO1,C6_T8,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
8,4,Control,LVTR,D1_T8,5,5,0,0,0,3,0,0,0,,3,0.6,,,,,,,,
8,4,02KNO3,WL1,D2_T8,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
8,4,05KNO3,LVTR,D3_T8,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
8,4,02KNO3,YO1,D4_T8,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
8,4,02KNO3,SQ1,D5_T8,5,5,0,0,1,0,2,0,0,,3,0.6,,,,,,,,
8,4,LS,TM2,D6_T8,5,5,0,0,4,0,0,0,0,,4,0.8,,,,,,,,
9,5,05KNO3,LVTR,A1_T9,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
9,5,02KNO3,WL1,A2_T9,5,5,0,0,1,0,0,0,1,,2,0.4,,,,,,,,
9,5,02KNO3,LVTR,A3_T9,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
9,5,02KNO3,WL2,A4_T9,5,5,0,0,1,0,0,0,0,(7/26) Germinant had seed coat separated,1,0.2,,,,,,,,
9,5,Control,LVTR,A5_T9,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
9,5,02KNO3,BH,A6_T9,5,5,0,1,0,0,0,0,0,,1,0.2,,,,,,,,
9,5,Control,SQ1,B1_T9,5,5,0,0,1,2,0,0,1,,4,0.8,,,,,,,,
9,5,Control,CP2,B2_T9,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
9,5,LS,FR,B3_T9,5,5,0,0,0,0,0,1,0,,1,0.2,,,,,,,,
9,5,Control,FR,B4_T9,5,4,0,0,0,0,0,0,1,,1,0.25,,,,,,,,
9,5,02KNO3,YO1,B5_T9,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
9,5,02KNO3,IH,B6_T9,5,6,0,0,1,1,0,0,0,,2,0.3333333333,,,,,,,,
9,5,05KNO3,FR,C1_T9,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
9,5,LS,YO7,C2_T9,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
9,5,LS,WL1,C3_T9,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
9,5,05KNO3,TM2,C4_T9,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
9,5,05KNO3,IH,C5_T9,5,5,0,0,0,0,1,0,1,,2,0.4,,,,,,,,
9,5,05KNO3,SQ1,C6_T9,5,5,0,0,0,1,1,1,0,,3,0.6,,,,,,,,
9,5,LS,LVTR,D1_T9,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
9,5,05KNO3,YO7,D2_T9,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
9,5,02KNO3,YO7,D3_T9,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
9,5,02KNO3,FR,D4_T9,5,5,0,0,0,0,0,1,0,,1,0.2,,,,,,,,
9,5,Control,TM2,D5_T9,5,5,0,0,5,0,0,0,0,,5,1,,,,,,,,
9,5,LS,BH,D6_T9,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
10,5,Control,DPR,A1_T10,5,5,0,0,0,0,0,1,0,,1,0.2,,,,,,,,
10,5,02KNO3,TM2,A2_T10,5,5,0,1,0,0,1,0,0,,2,0.4,,,,,,,,
10,5,LS,WL2,A3_T10,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
10,5,Control,WL2,A4_T10,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
10,5,Control,IH,A5_T10,5,5,0,0,2,0,0,1,1,,4,0.8,,,,,,,,
10,5,05KNO3,DPR,A6_T10,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
10,5,LS,DPR,B1_T10,5,5,0,0,0,1,0,0,1,,2,0.4,,,,,,,,
10,5,LS,SQ1,B2_T10,5,5,0,0,0,0,2,1,1,,4,0.8,,,,,,,,
10,5,02KNO3,CP2,B3_T10,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
10,5,LS,TM2,B4_T10,5,5,0,0,2,0,0,0,0,,2,0.4,,,,,,,,
10,5,05KNO3,WL2,B5_T10,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
10,5,Control,WL1,B6_T10,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
10,5,LS,IH,C1_T10,5,5,0,0,2,0,0,0,0,,2,0.4,,,,,,,,
10,5,05KNO3,WL1,C2_T10,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
10,5,LS,YO1,C3_T10,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
10,5,LS,CP2,C4_T10,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
10,5,02KNO3,DPR,C5_T10,5,5,0,1,0,0,1,0,0,,2,0.4,,,,,,,,
10,5,05KNO3,CP2,C6_T10,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
10,5,05KNO3,BH,D1_T10,5,5,0,2,0,0,0,0,0,"7/25 One of the germinants were two seed halves split in the middle (not completely separated), both still attached to one root",2,0.4,,,,,,,,
10,5,Control,YO7,D2_T10,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
10,5,02KNO3,SQ1,D3_T10,5,5,0,0,0,2,1,1,0,,4,0.8,,,,,,,,
10,5,Control,YO1,D4_T10,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
10,5,05KNO3,YO1,D5_T10,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
10,5,Control,BH,D6_T10,5,5,0,0,3,0,0,0,0,,3,0.6,,,,,,,,
11,6,05KNO3,BH,A1_T11,5,5,0,1,0,0,0,0,0,,1,0.2,,,,,,,,
11,6,LS,BH,A2_T11,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
11,6,05KNO3,YO1,A3_T11,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
11,6,02KNO3,FR,A4_T11,5,5,0,0,0,0,0,0,1,,1,0.2,,,,,,,,
11,6,05KNO3,CP2,A5_T11,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
11,6,02KNO3,WL2,A6_T11,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
11,6,05KNO3,YO7,B1_T11,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
11,6,05KNO3,TM2,B2_T11,5,5,0,0,0,1,0,0,0,,1,0.2,,,,,,,,
11,6,LS,CP2,B3_T11,5,5,0,0,0,2,0,0,0,,2,0.4,,,,,,,,
11,6,05KNO3,WL1,B4_T11,5,5,0,0,0,0,1,1,1,,3,0.6,,,,,,,,
11,6,Control,CP2,B5_T11,5,5,0,0,1,0,0,0,0,,1,0.2,,,,,,,,
11,6,LS,IH,B6_T11,5,5,0,0,0,0,2,1,0,,3,0.6,,,,,,,,
11,6,Control,FR,C1_T11,5,5,0,0,0,0,0,0,2,,2,0.4,,,,,,,,
11,6,05KNO3,FR,C2_T11,5,5,0,0,0,0,1,0,0,,1,0.2,,,,,,,,
11,6,Control,SQ1,C3_T11,5,5,0,0,1,2,0,2,0,,5,1,,,,,,,,
11,6,Control,BH,C4_T11,5,5,0,0,0,0,0,0,0,,0,0,,,,,,,,
